x,y,xp,yp
0.005031761347014468,0.0008294692438836242,0.009856672075810664,-0.004729725165591806
-0.0004625209081318446,-0.004362299199962403,-0.002998522463864801,0.008775284410213257
0.001397159807620806,0.005465976575664952,0.003766732338233579,-0.01527050421623606
-0.002894672357834021,0.001324751098361263,-0.007094655558332684,-0.003694602964142106
2.53421947981754e-06,0.0001172058439308272,-0.001690945736449653,-0.001357784900597411
-0.0001121081174979384,-0.0001493158062183363,-0.002950084831704858,-0.001566071014226922
0.001881237566753511,-0.0004521701069657745,0.005687511623445963,1.62886743124577e-05
-0.001721294955028016,0.001131734502708233,-0.002213378579458026,-0.00695522086294151
-0.001456209365833792,-0.0009621947252344984,-0.002223382248628096,-0.000554363451716024
0.0004510849628122829,0.005756758450356633,-0.0003515949488491373,-0.01523973211562814
0.004754760705087572,-0.003251796867229726,0.005839787366451148,0.006385218070101147
-0.003159215513590699,-0.00446871333056873,-0.005628169126539217,0.007893645308894009
0.002034815375999702,-0.006363459808856642,0.002287958037019997,0.01209960380669746
-0.003541394978408933,0.003906030476855427,-0.007614512912233858,-0.011280111067473
0.0008353768869644015,-0.00217762208655345,0.0007462603468124133,0.003535237476937813
0.004355933313789377,-0.0004766889713201762,0.008829308237500597,-0.001341478731764609
-0.0007577952636968724,-0.001703866995965307,-0.003830319039040316,0.002090123399353292
-0.002271214504278811,-0.005241578591961456,-0.005611090426852702,0.009234286547885835
0.002304576797181582,0.002280887814096563,0.006575391256883192,-0.008111616132487781
-0.001946566831130982,0.000326852933260629,-0.004654812532804205,-0.002673679745643791
-0.001260056210628269,0.0004665454659068845,-0.003783560856493262,-0.001399979144393613
0.0019475609876985,0.0006817154732804479,0.00196390184807109,-0.002772899071335563
-0.00292437137479924,-0.001337334814385036,-0.006804739046260488,0.0005145841731164866
0.008886952127929804,0.0008113693348868532,0.02059351439889776,-0.004251769015102943
-0.0009191521747068048,-0.001775995013146045,-0.00260450422489088,0.001382263548287591
-0.00084020315983642,0.002321113262254046,-0.002387122883594993,-0.00788868059791034
0.001899629480130896,-0.001193589380348715,0.001774321934713665,0.000716088099932295
