x,y,xp,yp
-0.008178396766496156,-0.01313006286830154,-0.005233780650814063,-0.009633965646788097
-0.006387865257539817,-0.006273944816712929,-0.004297973077724749,-0.005087261882219739
-0.008573205308798956,-0.01269325043501764,-0.01315706104137591,-0.01083227963038137
-0.006611609051349847,-0.005410383167121912,-0.009911877459363123,-0.006376919887472302
-0.006661551938671629,-0.006757127755359671,-0.00523106486406871,-0.006552029077475823
-0.006190088722121245,-0.009667515992675634,-0.001845013484580724,-0.007756650683574376
-0.009196119243689124,-0.006702270839025574,-0.0158891759417813,-0.006523483142506996
-0.008591083664646752,-0.01837934779066416,-0.01819281288494537,-0.01208094358156697
-0.008288748053943085,-0.01279942268883886,-0.01597074347301142,-0.009046248167480049
-0.006961091691143961,-0.01113618071512209,-0.006352419717345614,-0.0100755484199631
-0.007287170138011029,-0.00525071364595641,0.003608894522281199,-0.004832086771975866
-0.007496292589900134,-0.01084057343063285,-0.01676720173618674,-0.007138817962202727
-0.007047589728147671,-0.008959907450643942,-0.003854378236132259,-0.005654187792775978
-0.00668059652848761,-0.0117950481886158,-0.01261777243334767,-0.00987146352206016
-0.006969537347446255,-0.007175648958522384,-0.007019865624913949,-0.006001730692680819
-0.008223488074689981,-0.01162275575716326,-0.006586093742171911,-0.008639901774492934
-0.006229833468820478,-0.00900140342322351,-0.003733040081155904,-0.007034445566659828
-0.005991530623533815,-0.01074102855939689,-0.007825054712361262,-0.006770583562542529
-0.009379119532721112,-0.01308597480928528,-0.01544415791002198,-0.01012935441143916
-0.006927741150930821,-0.009840491867609718,-0.01055038476640435,-0.008033592976261637
-0.006324568075626007,-0.003916064418257516,-0.00703482809960426,-0.005242625473284905
-0.006953166546273599,-0.007285433559928525,-0.002992931155627356,-0.006880342242024252
-0.006351662854993008,-0.01176276420455465,-0.009984723026013833,-0.008367955164172942
-0.009965899178630484,-0.01145915368459985,-0.008783387496646923,-0.009004706727621685
-0.006954057614505524,-0.01226648327192236,-0.00925569771254563,-0.008498172028002692
-0.007185370930836847,-0.01229741406862402,-0.009744121292977135,-0.009698870675910423
-0.006914364551656255,-0.009745558129720326,-0.002758923619331289,-0.007466121410428103
-0.006882569211518494,-0.005970830042090864,-0.006982665184760255,-0.005106911770654125
-0.006162364290731612,-0.009234210588437576,-0.01557521207709733,-0.008227026670312733
-0.006220977974582301,-0.008963677662551187,-0.008105236167503766,-0.006415031170807488
