x,xp,y,yp,t,p,dt,particleID
-0.008178396766496156,-0.005233780650814063,-0.01313006286830154,-0.009633965646788097,4.575143127169547e-08,773.1478356964678,-1.113155739758605e-11,1
-0.006387865257539817,-0.004297973077724749,-0.006273944816712929,-0.005087261882219739,4.5768162785199974e-08,788.1427572517144,5.599956106916518e-12,2
-0.008573205308798956,-0.01315706104137591,-0.01269325043501764,-0.01083227963038137,4.573689813776071e-08,757.2663416953266,-2.5664691332345288e-11,3
-0.006611609051349847,-0.009911877459363123,-0.005410383167121912,-0.006376919887472302,4.5762464156700214e-08,770.0962641975791,-9.867239283715975e-14,4
-0.006661551938671629,-0.00523106486406871,-0.006757127755359671,-0.006552029077475823,4.575231322962717e-08,784.1537531368234,-1.024959946588443e-11,5
-0.006190088722121245,-0.001845013484580724,-0.009667515992675634,-0.007756650683574376,4.576287442990444e-08,788.2063110137186,3.1160081139145653e-13,947
-0.009196119243689124,-0.0158891759417813,-0.006702270839025574,-0.006523483142506996,4.5767973144396894e-08,757.0775403313531,5.410315303836407e-12,7
-0.008591083664646752,-0.01819281288494537,-0.01837934779066416,-0.01208094358156697,4.5767399704469924e-08,756.8340834746762,4.836875376872992e-12,946
-0.008288748053943085,-0.01597074347301142,-0.01279942268883886,-0.009046248167480049,4.5779653919732934e-08,756.1000492997579,1.7091090639875988e-11,9
-0.006961091691143961,-0.006352419717345614,-0.01113618071512209,-0.0100755484199631,4.5746908422137176e-08,781.1070080534349,-1.5654406955881498e-11,942
-0.007287170138011029,0.003608894522281199,-0.00525071364595641,-0.004832086771975866,4.576538640267026e-08,809.5540535787136,2.823573577204367e-12,758
-0.007496292589900134,-0.01676720173618674,-0.01084057343063285,-0.007138817962202727,4.577349208026326e-08,774.0331145853231,1.0929251170209779e-11,941
-0.007047589728147671,-0.003854378236132259,-0.008959907450643942,-0.005654187792775978,4.58189948633438e-08,817.6633032244612,5.643203425073944e-11,13
-0.00668059652848761,-0.01261777243334767,-0.0117950481886158,-0.00987146352206016,4.577004523528029e-08,778.6024471120236,7.482406187241084e-12,14
-0.006969537347446255,-0.007019865624913949,-0.007175648958522384,-0.006001730692680819,4.5780592173790985e-08,806.7141966788151,1.8029344697926938e-11,15
-0.008223488074689981,-0.006586093742171911,-0.01162275575716326,-0.008639901774492934,4.577393173093377e-08,763.8634658017359,1.136890184072108e-11,940
-0.006229833468820478,-0.003733040081155904,-0.00900140342322351,-0.007034445566659828,4.5773165681221085e-08,787.9793803284448,1.060285212803382e-11,17
-0.005991530623533815,-0.007825054712361262,-0.01074102855939689,-0.006770583562542529,4.577605904268952e-08,813.6674310158962,1.349621359646454e-11,18
-0.009379119532721112,-0.01544415791002198,-0.01308597480928528,-0.01012935441143916,4.5750943894628134e-08,749.7288750061871,-1.161893446491663e-11,19
-0.006927741150930821,-0.01055038476640435,-0.009840491867609718,-0.008033592976261637,4.5766323979382125e-08,774.0446949455013,3.761150289073516e-12,20
-0.006324568075626007,-0.00703482809960426,-0.003916064418257516,-0.005242625473284905,4.578478003614397e-08,806.0066514119294,2.2217207050922168e-11,21
-0.006953166546273599,-0.002992931155627356,-0.007285433559928525,-0.006880342242024252,4.578428753316941e-08,795.2030380450201,2.1724704076354378e-11,938
-0.006351662854993008,-0.009984723026013833,-0.01176276420455465,-0.008367955164172942,4.575073401019556e-08,788.1233819796603,-1.1828818897495699e-11,23
-0.009965899178630484,-0.008783387496646923,-0.01145915368459985,-0.009004706727621685,4.5776763298297794e-08,748.2987721129934,1.4200469204742809e-11,24
-0.006954057614505524,-0.00925569771254563,-0.01226648327192236,-0.008498172028002692,4.575550575705566e-08,780.8128314237844,-7.0570720373890175e-12,25
-0.007185370930836847,-0.009744121292977135,-0.01229741406862402,-0.009698870675910423,4.574393835956624e-08,769.7511053792816,-1.862446952680796e-11,937
-0.006914364551656255,-0.002758923619331289,-0.009745558129720326,-0.007466121410428103,4.5770724171801964e-08,797.2767491713993,8.161342708905947e-12,27
-0.006882569211518494,-0.006982665184760255,-0.005970830042090864,-0.005106911770654125,4.5766956583778986e-08,791.8780844889898,4.393754685928724e-12,936
-0.006162364290731612,-0.01557521207709733,-0.009234210588437576,-0.008227026670312733,4.5811124889154426e-08,801.2863890837219,4.856206006136787e-11,29
-0.006220977974582301,-0.008105236167503766,-0.008963677662551187,-0.006415031170807488,4.5757767623813204e-08,784.849670754195,-4.795205279854088e-12,30
-0.005151544946453835,-0.01014074554765947,-0.006652270950794626,-0.005142257136325643,4.5781736252849335e-08,796.0818131810297,1.917342375627719e-11,31
-0.00735444247084952,-0.01038068906571855,-0.006965440978382149,-0.004650959976349,4.5745218691502154e-08,766.3532423855997,-1.734413759089695e-11,935
-0.007544246946879142,-0.006198293540211152,-0.01117557106770318,-0.008150086034563676,4.5762555457107674e-08,776.8561904630376,-7.371985376936484e-15,33
-0.006514799529156017,-0.01403315259645009,-0.005573955084371125,-0.005637822134928247,4.575057064253462e-08,765.0560343926691,-1.1992186558428739e-11,34
-0.006762987004373429,-0.01115061555387664,-0.0116030897361132,-0.008006016742929788,4.5767836663216644e-08,805.2526827522751,5.273834123592779e-12,934
-0.007751054503711591,-0.01370725018378729,-0.01302822564137843,-0.009741420363081454,4.5736822660108887e-08,768.6082308642281,-2.5740168984171008e-11,36
-0.007193221448526557,-0.003887934007618997,-0.001276139315080521,-0.004058338794809829,4.577929501439836e-08,815.0229768646673,1.6732185305311858e-11,37
-0.007300763880757075,-0.0105738085144804,-0.006253213650033125,-0.006445103421707377,4.5763702685934053e-08,771.6694826814323,1.139856840995643e-12,38
-0.009085004292483202,-0.01525958146085668,-0.006132012007207062,-0.00549454482250025,4.5749628102915856e-08,753.9165714454741,-1.2934726177201399e-11,39
-0.006881442180396619,-0.003467286180646121,-0.0097216481417041,-0.008277649799647735,4.5740676030230555e-08,774.0631649121398,-2.1886798862496408e-11,40
-0.009230266440145928,-0.01993807823668316,-0.007319686622200066,-0.007567417233465386,4.577820778954917e-08,752.1787565158219,1.5644960456115588e-11,41
-0.007280387129537878,-0.01551336893184804,-0.01040775272456874,-0.008797459913953067,4.573596072889607e-08,767.672089139813,-2.6602100196979558e-11,42
-0.006344314666331409,-0.007323801786902607,-0.006553984564788709,-0.005243463475639466,4.576821193413897e-08,780.1616310949155,5.649105045920022e-12,930
-0.007794873830579972,0.002785640220081247,-0.004871031081830939,-0.005822392863724428,4.5794468225612284e-08,803.9693953307132,3.190539651923342e-11,927
-0.008666515001908334,-0.01950705215397905,-0.00277363796045468,-0.004586178825588116,4.5767175968570054e-08,760.588250202247,4.6131394769960066e-12,993
-0.006265463856698412,-0.00103709403544984,-0.0126501943385007,-0.009573757546267847,4.576525306593754e-08,802.1855021107481,2.690236844491202e-12,46
-0.00897092961469435,-0.01477984710994686,-0.01143409879919031,-0.008946475350469114,4.5747587396458156e-08,754.7961332954695,-1.497543263490153e-11,926
-0.006562885794032308,-0.003576513739711511,-0.003091381902238546,-0.006269470107095122,4.578559199887024e-08,797.4506058378981,2.302916977718515e-11,48
-0.006682659528506288,-0.007497375078817932,-0.01431829681684274,-0.009796427996729796,4.5789688770584526e-08,800.7697172157137,2.712594149146847e-11,925
-0.008475375953413272,-0.02009300375430327,-0.01258057582364704,-0.00953781224794904,4.5780750255597444e-08,758.3022494948482,1.818742650438627e-11,50
-0.00679059543442731,-0.01313603647569378,-0.00979343317000116,-0.008196974210719857,4.575643144160888e-08,769.9683596955028,-6.1313874841806736e-12,51
-0.009047651423374124,-0.01195563811571012,-0.01020099182083651,-0.009304819983427463,4.5750632180928546e-08,752.5468861712375,-1.1930648164511639e-11,924
-0.006335070563863529,-0.00690963058262156,-0.01436222762218,-0.01033239479968999,4.5783663968043466e-08,794.861686079478,2.1101138950407858e-11,53
-0.007045103476532887,-0.01641388114586616,-0.01467384172989119,-0.01138275607839962,4.5747714459670025e-08,772.4653170685799,-1.48483694230322e-11,54
-0.006195525736348998,-0.0006573775786365369,-0.01198693577016881,-0.008280357068310115,4.5796393061771543e-08,811.2608968711157,3.383023267849237e-11,55
-0.007484539681138325,-0.01177305857497915,-0.004068062227911975,-0.005266545027376991,4.5782553202629564e-08,781.9281400951934,1.999037353650674e-11,56
-0.007768090425448432,-0.01049074775486692,-0.007984590857137907,-0.006436290355275014,4.57625420919384e-08,761.5378553143654,-2.073715465518926e-14,923
-0.005837038905485539,-0.004494914351419825,-0.009783983543100528,-0.007209283035390309,4.576052916449696e-08,789.244444669388,-2.033664596088877e-12,921
-0.006469471624964794,-0.003047478004526484,-0.01206062381146419,-0.008960473756482228,4.5788600238752474e-08,797.1622104059298,2.6037409659416537e-11,757
-0.007687307958702312,-0.01175262286378026,-0.01042819069420071,-0.008277700971785385,4.5792178778907015e-08,769.1554293046499,2.9615949813957256e-11,60
-0.008607800845470123,-0.01038017768694182,-0.009027907899532023,-0.007269577398346847,4.577525733990527e-08,762.8656052308146,1.269451081221517e-11,61
-0.006575815637119362,-0.001730137620804366,-0.01712585357183728,-0.01026230710408311,4.579995925102239e-08,813.974013596008,3.739642192933516e-11,918
-0.00666775689135144,-0.00686823967400358,-0.01006671010427835,-0.007609842297160116,4.575915566364073e-08,784.8484487710879,-3.4071654523194998e-12,917
-0.007017475552402501,-0.004858768812449225,-0.009698258383471992,-0.005783424010097325,4.57795989185701e-08,809.7854692428234,1.703608947704435e-11,64
-0.0055651503601981,-0.01208283740347201,-0.01181607548565135,-0.00897996048310854,4.5790099664473025e-08,801.9031284311997,2.753683537997385e-11,65
-0.007442076420657792,-0.0115646560844629,-0.00605294770205944,-0.003958524721636125,4.574880638733931e-08,762.1763662820612,-1.3756441753745759e-11,992
-0.006251515060016743,-0.002699221412162434,-0.004772860778551398,-0.004288894562383575,4.58013115541445e-08,790.158450821039,3.874872505145157e-11,67
-0.009617815694695489,-0.01911722482891769,-0.008742682934996361,-0.006403024862803459,4.5764165036637446e-08,754.0645129079043,1.602207544387996e-12,68
-0.007844355986750366,0.003178343905955398,-0.003874757573188917,-0.004464148652150703,4.5788834296572063e-08,813.783945560761,2.627146747900567e-11,69
-0.009713305009226347,-0.01053012702282001,-0.01642236044538012,-0.01224514735605991,4.5751709077937674e-08,752.1553583076443,-1.085375115537752e-11,70
-0.009557952629599955,-0.01530644730579142,-0.0130489636374683,-0.009494347716784828,4.577655870556307e-08,752.8227062862127,1.3995876470019969e-11,71
-0.006352738940781272,-0.001919601597034238,-0.01282074024576149,-0.008070300522560064,4.578886436473176e-08,815.1314929336115,2.6301535638710938e-11,72
-0.006770815293944444,-0.004732079304759031,-0.01228823616770035,-0.009711236593675022,4.576652246595178e-08,786.1277915784615,3.959636858729619e-12,73
-0.006990252911434501,0.0002259835447551758,-0.007778785006998483,-0.006645880673793304,4.5781283145893675e-08,817.7961698292147,1.872031680061748e-11,74
-0.008795298704415686,-0.02268657776944521,-0.01134772875205958,-0.008907061582620357,4.5749369665175897e-08,750.85874285218,-1.3193163917160989e-11,75
-0.008796634020465826,-0.02282664312149989,-0.01233046018468709,-0.009141090450352142,4.5743503610596623e-08,756.2534885233111,-1.905921849642757e-11,916
-0.007071950993841893,-0.01504761597745504,-0.004468371860584084,-0.003444255943495414,4.5784736735875495e-08,760.6577590921632,2.217390678244359e-11,915
-0.00663003421261817,-0.006484177896802338,-0.00845633928414471,-0.006362072122921497,4.5786139499807234e-08,817.2677276874862,2.357667071418308e-11,78
