,ElementName,s,betax,betay,alphax,alphay,etax,etay,pCentral0,xAperture,yAperture
0,_BEG_,0.0,2.0,2.0,0.0,0.0,0.0,0.0,782.7803049187606,100.0,100.0
1,Q,0.0,2.0,2.0,0.0,0.0,0.0,0.0,782.7803049187606,100.0,100.0
2,MA2,0.0,2.0,2.0,0.0,0.0,0.0,0.0,782.7803049187606,100.0,100.0
3,LM01L0,1.0,2.5,2.5,-0.5,-0.5,0.0,0.0,782.7803049187606,100.0,100.0
4,WQ1L0_1,1.0,2.5,2.5,-0.5,-0.5,0.0,0.0,782.7803049187606,100.0,100.0
5,Q1L0,1.18,1.855088702397459,3.761206902148563,3.640982700203166,-7.330185410299116,-0.0003973003514139023,-0.0005056280207330814,782.7803049187606,99.57544965925794,99.52153813452443
6,LL0L1,1.3,1.091919946476668,5.729994592966562,2.718756932470092,-9.076378679850874,-0.0008938125323222357,-0.001218885141790472,782.7803049187606,99.02270625409196,98.86192704661768
7,WQ1L1_1,1.3,1.091919946476668,5.729994592966562,2.718756932470092,-9.076378679850874,-0.0008938125323222357,-0.001218885141790472,782.7803049187606,99.02270625409196,98.86192704661768
8,Q1L1,1.48,0.5814866423884739,6.878692048340529,0.4465720166361744,3.472614009921876,-0.001577344767622616,-0.001585242192984895,782.7803049187606,98.44307980943701,98.31972487550178
9,LL1M1,1.62,0.4968751978087119,5.943570301597991,0.1577954446478401,3.206827038239104,-0.002118947287013738,-0.001280896983634025,782.7803049187606,32.839276225603776,10.57273359955788
10,MBH,1.62,0.4968751978087119,5.943570301597991,0.1577954446478401,3.206827038239104,-0.002118947287013738,-0.001280896983634025,782.7803049187606,32.839276225603776,10.57273359955788
11,WBM1_1,1.62,0.4968751978087119,5.943570301597991,0.1577954446478401,3.206827038239104,-0.002118947287013738,-0.001280896983634025,782.7803049187606,32.839276225603776,10.57273359955788
12,BM1,2.49808,1.361531452140092,1.759945367668986,-0.9251280066432748,1.541880880068332,0.3257393794899319,0.0006649562746074567,782.7803049187606,23.70964865541822,22.99710890868356
13,ML,2.49808,1.361531452140092,1.759945367668986,-0.9251280066432748,1.541880880068332,0.3257393794899319,0.0006649562746074567,782.7803049187606,23.70964865541822,22.99710890868356
14,LM1L2,2.80308,2.052659065018063,0.9979162558709156,-1.340864166727122,0.9565752241876352,0.5421880249419165,0.001713523177632171,782.7803049187606,24.70866844785915,22.93635329394628
15,WQ1L2_1_1,2.80308,2.052659065018063,0.9979162558709156,-1.340864166727122,0.9565752241876352,0.5421880249419165,0.001713523177632171,782.7803049187606,24.70866844785915,22.93635329394628
16,Q1L2_1,2.98308,1.871651048891702,1.007966286839655,2.233743290976768,-1.018398677756704,0.5761275930031154,0.002795878180456172,782.7803049187606,24.72763667013437,23.00732143392403
17,LL2M2,3.28808,0.8067638310385271,1.817196327810265,1.257690210181182,-1.634814571327263,0.471489665898833,0.005521769056320741,782.7803049187606,34.17994873606216,10.64281301619147
18,MBH,3.28808,0.8067638310385271,1.817196327810265,1.257690210181182,-1.634814571327263,0.471489665898833,0.005521769056320741,782.7803049187606,34.17994873606216,10.64281301619147
19,BM2,4.166160000000001,1.065471133558068,6.24646031079903,-1.552318606818779,-3.409445613381152,0.1702422198931662,0.01336947482772782,782.7803049187606,23.60083244420443,24.27277675767506
20,ML,4.166160000000001,1.065471133558068,6.24646031079903,-1.552318606818779,-3.409445613381152,0.1702422198931662,0.01336947482772782,782.7803049187606,23.60083244420443,24.27277675767506
21,LM2L3,4.39116,1.926023317168409,7.883025769974679,-2.272357764782736,-3.864178649621729,0.0930503064555808,0.01538037793287382,782.7803049187606,23.378822554798532,24.506939541532788
22,WQ1L3_1_1,4.39116,1.926023317168409,7.883025769974679,-2.272357764782736,-3.864178649621729,0.0930503064555808,0.01538037793287382,782.7803049187606,23.378822554798532,24.506939541532788
23,Q1L3_1,4.57116,3.288693337744504,7.938854862430739,-5.7156452871909,3.571512897891636,0.03737990445147916,0.01548495704369731,782.7803049187606,23.26725624149753,24.50110189905216
24,LL3L4,5.38616,19.40532038344357,3.268195726574261,-14.0593572228693,2.159357207453738,-0.1941363240053658,0.00913458948347041,782.7803049187606,23.03596646975641,23.60326754891906
25,WQ1L4_1_1,5.38616,19.40532038344357,3.268195726574261,-14.0593572228693,2.159357207453738,-0.1941363240053658,0.00913458948347041,782.7803049187606,23.03596646975641,23.60326754891906
26,Q1L4_1,5.56616,19.35912019001188,3.328486202822602,14.2935877446312,-2.522595163544316,-0.2186843617757316,0.009176605789079912,782.7803049187606,23.06062743938438,23.69678058334738
27,LL4L5,6.381159999999999,3.104787433550396,8.90975660812636,5.650378827714176,-4.325589382840663,-0.2046656585553071,0.01593332578748858,782.7803049187606,23.46284449682088,24.449371411873162
28,WQ1L3_2_1,6.381159999999999,3.104787433550396,8.90975660812636,5.650378827714176,-4.325589382840663,-0.2046656585553071,0.01593332578748858,782.7803049187606,23.46284449682088,24.449371411873162
29,Q1L3_2,6.561159999999999,1.80354303575502,8.730271718840195,2.037780729710079,5.257762885967636,-0.2217647100981779,0.01557895223152877,782.7803049187606,23.76839890008833,24.37867399750119
30,LL5M3,6.786159999999999,1.03117250015649,6.530379329617488,1.394977206283391,4.51953662168884,-0.2690798727720429,0.01283840873438923,782.7803049187606,34.43984906374717,11.970197964001429
31,MBH,6.786159999999999,1.03117250015649,6.530379329617488,1.394977206283391,4.51953662168884,-0.2690798727720429,0.01283840873438923,782.7803049187606,34.43984906374717,11.970197964001429
32,BM3,7.664239999999999,0.7841126918195043,1.123085568350408,-1.113613539718858,1.63855120774251,-0.4537309751750091,0.00214322458341904,782.7803049187606,22.89617800295684,24.21398803092045
33,ML,7.664239999999999,0.7841126918195043,1.123085568350408,-1.113613539718858,1.63855120774251,-0.4537309751750091,0.00214322458341904,782.7803049187606,22.89617800295684,24.21398803092045
34,LM3L6,7.969239999999998,1.729180496678086,0.428784879336521,-1.98496942703059,0.6378444939423664,-0.5178693067995817,-0.001571734379370122,782.7803049187606,21.96606112464449,23.76324120125724
35,WQ1L2_2_1,7.969239999999998,1.729180496678086,0.428784879336521,-1.98496942703059,0.6378444939423664,-0.5178693067995817,-0.001571734379370122,782.7803049187606,21.96606112464449,23.76324120125724
36,Q1L2_2,8.149239999999999,1.86777487137332,0.4217316719914656,1.301783944399885,-0.5944340697530117,-0.4697769346452366,-0.003949463295417607,782.7803049187606,22.06492344058356,23.75390901937601
37,LL6M4,8.454239999999999,1.207893963825369,1.082856972308462,0.8617600147737251,-1.573189865712551,-0.2471834311750739,-0.008515109137398169,782.7803049187606,33.261556306161175,11.4927368621035
38,MBH,8.454239999999999,1.207893963825369,1.082856972308462,0.8617600147737251,-1.573189865712551,-0.2471834311750739,-0.008515109137398169,782.7803049187606,33.261556306161175,11.4927368621035
39,WBM4_1,8.454239999999999,1.207893963825369,1.082856972308462,0.8617600147737251,-1.573189865712551,-0.2471834311750739,-0.008515109137398169,782.7803049187606,33.261556306161175,11.4927368621035
40,BM4,9.33232,0.5413727140299718,6.305504594173293,-0.261095467553165,-4.379747059908443,0.07259388894528118,-0.02119993793795951,782.7803049187606,24.58458316402462,24.97358672537931
41,ML,9.33232,0.5413727140299718,6.305504594173293,-0.261095467553165,-4.379747059908443,0.07259388894528118,-0.02119993793795951,782.7803049187606,24.58458316402462,24.97358672537931
42,LM4L7,9.57232,0.7803478579954073,8.592144925724641,-0.734634298969483,-5.147920988222177,0.06319164136999786,-0.02466284797521382,782.7803049187606,24.48671881744746,24.74872491313188
43,WQ1L7_1,9.57232,0.7803478579954073,8.592144925724641,-0.734634298969483,-5.147920988222177,0.06319164136999786,-0.02466284797521382,782.7803049187606,24.48671881744746,24.74872491313188
44,Q1L7,9.75232,1.550413103564476,7.075964826352437,-4.099543615624088,12.41631173285042,0.06912304133002285,-0.02233513712739216,782.7803049187606,24.041883627637333,24.58491323008241
45,LL7L8,9.89232,2.923388324410414,4.029194762700878,-5.707422247561182,9.34633157894643,0.08416265825702388,-0.01682372250693406,782.7803049187606,23.384776858713792,24.454645755155198
46,WQ1L4_2_1,9.89232,2.923388324410414,4.029194762700878,-5.707422247561182,9.34633157894643,0.08416265825702388,-0.01682372250693406,782.7803049187606,23.384776858713792,24.454645755155198
47,Q1L4_2,10.07232,3.599634425193494,2.49031250967105,2.533702471750833,0.4525565824072074,0.08326073972810846,-0.01317192121806458,782.7803049187606,23.08555922870044,24.33936799579703
48,LDB,10.39372,2.183890577126666,2.249384453789004,1.871225493609553,0.2970640021666774,0.04559479098264813,-0.01228406666624071,782.7803049187606,8.550406437796157,9.18270377976494
49,MA,10.39372,2.183890577126666,2.249384453789004,1.871225493609553,0.2970640021666774,0.04559479098264813,-0.01228406666624071,782.7803049187606,8.550406437796157,9.18270377976494
50,RFCAVITY_D,10.4287,2.05550175452294,2.229193831254608,1.79912392330656,0.2801407586793913,0.04149536694059399,-0.01218743582547282,782.7803049187606,8.602029174711662,9.176240559768464
51,RFCAVITY_D,10.46368,1.932157157777612,2.210187158834583,1.727022353003567,0.2632175151921052,0.03739594289853985,-0.01209080498470494,782.7803049187606,8.653632458232229,9.16949235720092
52,RFCAVITY_D,10.49866,1.813856786890681,2.192364436528929,1.654920782700574,0.2462942717048192,0.03329651885648571,-0.01199417414393705,782.7803049187606,8.705216282355535,9.162459787762945
53,RFCAVITY_D,10.53364,1.700600641862148,2.175725664337645,1.582819212397581,0.2293710282175331,0.02919709481443156,-0.01189754330316916,782.7803049187606,8.756780640962823,9.155143440978016
54,RFCAVITY_D,10.56862,1.592388722692012,2.160270842260732,1.510717642094588,0.2124477847302471,0.02509767077237741,-0.01180091246240127,782.7803049187606,8.80832552781873,9.147543880451448
55,RFCAVITY_D,10.60359999999999,1.489221029380273,2.145999970298189,1.438616071791595,0.195524541242961,0.02099824673032327,-0.01170428162163338,782.7803049187606,8.859850936571085,9.139661644116932
56,RFCAVITY_D,10.63857999999999,1.391097561926932,2.132913048450016,1.366514501488602,0.178601297755675,0.01689882268826912,-0.0116076507808655,782.7803049187606,8.911356860750743,9.131497244470792
57,RFCAVITY_D,10.67355999999999,1.298018320331988,2.121010076716214,1.294412931185609,0.1616780542683889,0.01279939864621498,-0.01151101994009761,782.7803049187606,8.962843293771376,9.123051168794312
58,RFCAVITY_D,10.70853999999999,1.209983304595442,2.110291055096783,1.222311360882616,0.1447548107811029,0.008699974604160832,-0.01141438909932972,782.7803049187606,9.01431022892929,9.114323879364267
59,RFCAVITY_D,10.74351999999999,1.126992514717293,2.100755983591723,1.150209790579623,0.1278315672938168,0.004600550562106687,-0.01131775825856183,782.7803049187606,9.065757659403216,9.105315813651938
60,RFCAVITY_D,10.77849999999999,1.049045950697541,2.092404862201033,1.07810822027663,0.1109083238065307,0.000501126520052542,-0.01122112741779394,782.7803049187606,9.11718557825412,9.096027384510734
61,RFCAVITY_D,10.81347999999999,0.976143612536187,2.085237690924713,1.006006649973637,0.09398508031924468,-0.003598297522001603,-0.01112449657702606,782.7803049187606,9.168593978424985,9.08645898035274
62,RFCAVITY_D,10.84845999999999,0.90828550023323,2.079254469762764,0.9339050796706438,0.07706183683195862,-0.007697721564055748,-0.01102786573625817,782.7803049187606,9.219982852740612,9.076610965314236
63,RFCAVITY_D,10.88343999999999,0.8454716137886705,2.074455198715185,0.8618035093676508,0.06013859334467256,-0.01179714560610989,-0.01093123489549028,782.7803049187606,9.271352193907395,9.066483679410428
64,RFCAVITY_D,10.91841999999999,0.7877019532025084,2.070839877781977,0.7897019390646578,0.0432153498573865,-0.01589656964816404,-0.01083460405472239,782.7803049187606,9.322701994513128,9.056077438679528
65,RFCAVITY_D,10.95339999999999,0.7349765184747435,2.06840850696314,0.7176003687616648,0.02629210637010044,-0.01999599369021818,-0.0107379732139545,782.7803049187606,9.374032247026747,9.045392535316331
66,RFCAVITY_D,10.98837999999999,0.6872953096053762,2.067161086258673,0.6454987984586718,0.00936886288281438,-0.02409541773227233,-0.01064134237318662,782.7803049187606,9.42534294379815,9.034429237795408
67,RFCAVITY_D,11.02335999999998,0.6446583265944063,2.067097615668576,0.5733972281556787,-0.00755438060447168,-0.02819484177432648,-0.01054471153241873,782.7803049187606,9.476634077057916,9.023187790984046
68,RFCAVITY_D,11.05833999999998,0.6070655694418337,2.06821809519285,0.5012956578526857,-0.02447762409175774,-0.03229426581638062,-0.01044808069165084,782.7803049187606,9.527905638917137,9.011668416245064
69,RFCAVITY_D,11.09331999999998,0.5745170381476584,2.070522524831495,0.4291940875496927,-0.04140086757904381,-0.03639368985843476,-0.01035144985088295,782.7803049187606,9.579157621367122,8.999871311529557
70,RFCAVITY_D,11.12829999999998,0.5470127327118806,2.07401090458451,0.3570925172466997,-0.05832411106632987,-0.0404931139004889,-0.01025481901011507,782.7803049187606,9.630390016279199,8.98779665145973
71,RFCAVITY_D,11.16327999999998,0.5245526531345002,2.078683234451896,0.2849909469437066,-0.07524735455361593,-0.04459253794254305,-0.01015818816934718,782.7803049187606,9.681602815404458,8.975444587401826
72,RFCAVITY_D,11.19825999999998,0.5071367994155171,2.084539514433652,0.2128893766407136,-0.092170598040902,-0.04869196198459719,-0.01006155732857929,782.7803049187606,9.732796010373495,8.962815247529278
73,RFCAVITY_D,11.23323999999998,0.4947651715549315,2.091579744529778,0.1407878063377206,-0.1090938415281881,-0.05279138602665133,-0.0099649264878114,782.7803049187606,9.78396959269617,8.949908736876123
74,RFCAVITY_D,11.26821999999998,0.4874377695527433,2.099803924740276,0.06868623603472757,-0.1260170850154741,-0.05689081006870547,-0.009868295647043512,782.7803049187606,9.835123553761365,8.936725137380739
75,RFCAVITY_D,11.30319999999998,0.4851545934089524,2.109212055065143,-0.003415334268265457,-0.1429403285027602,-0.06099023411075961,-0.009771664806275624,782.7803049187606,9.886257884836697,8.92326450791991
76,RFCAVITY_D,11.33817999999998,0.487915643123559,2.119804135504382,-0.07551690457125848,-0.1598635719900462,-0.06508965815281376,-0.009675033965507738,782.7803049187606,9.937372577068283,8.90952688433333
77,RFCAVITY_D,11.37315999999998,0.4957209186965629,2.13158016605799,-0.1476184748742515,-0.1767868154773323,-0.0691890821948679,-0.00957840312473985,782.7803049187606,9.889196122039776,8.895512279438485
78,RFCAVITY_D,11.40813999999997,0.5085704201279642,2.14454014672597,-0.2197200451772445,-0.1937100589646184,-0.07328850623692204,-0.009481772283971962,782.7803049187606,9.835013853646558,8.881220683035984
79,RFCAVITY_D,11.44311999999997,0.5264641474177628,2.15868407750832,-0.2918216154802376,-0.2106333024519045,-0.07738793027897618,-0.009385141443204074,782.7803049187606,9.780811919116184,8.866652061905326
80,RFCAVITY_D,11.47809999999997,0.549402100565959,2.17401195840504,-0.3639231857832306,-0.2275565459391906,-0.08148735432103033,-0.009288510602436186,782.7803049187606,9.726590309106012,8.851806359791071
81,RFCAVITY_D,11.51307999999997,0.5773842795725525,2.190523789416131,-0.4360247560862236,-0.2444797894264766,-0.08558677836308447,-0.009191879761668298,782.7803049187606,9.67234901415053,8.836683497379486
82,RFCAVITY_D,11.54805999999997,0.6104106844375433,2.208219570541593,-0.5081263263892166,-0.2614030329137627,-0.08968620240513861,-0.00909524892090041,782.7803049187606,9.618088024661049,8.821283372265519
83,RFCAVITY_D,11.58303999999997,0.6484813151609315,2.227099301781425,-0.5802278966922096,-0.2783262764010488,-0.09378562644719277,-0.008998618080132522,782.7803049187606,9.563807330925425,8.805605858910194
84,RFCAVITY_D,11.61801999999997,0.6915961717427173,2.247162983135627,-0.6523294669952027,-0.2952495198883349,-0.09788505048924688,-0.008901987239364634,782.7803049187606,9.50950692310776,8.789650808588277
